1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
6784;Produto Interno Bruto, Produto Interno Bruto per capita, População residente e Deflator;https://sidra.ibge.gov.br/tabela/6784;Contas Nacionais Anuais;Geral;anual;1996;2021
1621;Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100);https://sidra.ibge.gov.br/tabela/1621;Contas Nacionais Trimestrais;Contas Nacionais e Regionais;trimestral;199601;202304
2093;População residente por cor ou raça, sexo, situação do domicílio e grupos de idade - Amostra - Características Gerais da População;https://sidra.ibge.gov.br/tabela/2093;Censo Demográfico;Cor ou raça;anual;2000;2010
